benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
tsvc/s211,serial,unpinned,-1,1,0,1.7771,1.372446152,1152.25 1951.72 1862.98
tsvc/s211,serial,unpinned,-1,2,0,1.7557,1.374410996,1152.25 1951.72 1862.98
tsvc/s211,serial,unpinned,-1,3,0,1.7656,1.385216191,1060.46 1919.42 1853.01
tsvc/s211,serial,unpinned,-1,4,0,1.7239,1.357679151,1060.46 1919.42 1853.01
tsvc/s211,serial,unpinned,-1,5,0,1.7328,1.361342137,1060.46 1919.42 1853.01
tsvc/s211,serial,unpinned,-1,6,0,1.7175,1.354717923,975.86 1887.62 1843.08
tsvc/s211,serial,unpinned,-1,7,0,1.6808,1.335119027,975.86 1887.62 1843.08
tsvc/s211,serial,unpinned,-1,8,0,1.6985,1.343606057,975.86 1887.62 1843.08
tsvc/s211,serial,unpinned,-1,9,0,1.7218,1.363122211,898.04 1856.35 1833.20
tsvc/s211,serial,unpinned,-1,10,0,1.7538,1.387097436,898.04 1856.35 1833.20
tsvc/s211,serial,4_lanes,2,1,0,,1.406863304,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,2,0,,1.42375172,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,3,0,,1.399490774,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,4,0,,1.378317478,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,5,0,,1.374995575,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,6,0,,1.403341651,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,7,0,,1.398196216,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,8,0,,1.410187679,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,9,0,,1.418852759,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,2,10,0,,1.46540802,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,1,0,,1.390156358,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,2,0,,1.423822491,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,3,0,,1.408882369,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,4,0,,1.373526435,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,5,0,,1.392915089,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,6,0,,1.378074757,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,7,0,,1.394989874,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,8,0,,1.395476458,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,9,0,,1.431186414,1328.50 1878.27 1840.12
tsvc/s211,serial,4_lanes,3,10,0,,1.462209529,1328.50 1878.27 1840.12
