benchmark,kind,line,function,applicable,pragma,in_main,in_excluded_function,on_scaffolding,end
polybench/3mm,do_all,138,main,True,#pragma omp parallel for,True,True,True,138
polybench/3mm,do_all,139,main,True,#pragma omp parallel for,True,True,True,139
polybench/3mm,do_all,140,main,True,#pragma omp parallel for,True,True,True,140
polybench/3mm,do_all,141,main,True,#pragma omp parallel for,True,True,True,141
polybench/3mm,do_all,142,main,True,#pragma omp parallel for,True,True,True,142
polybench/3mm,do_all,143,main,True,#pragma omp parallel for,True,True,True,143
polybench/3mm,do_all,33,init_array,True,#pragma omp parallel for,False,True,False,33
polybench/3mm,do_all,32,init_array,True,#pragma omp parallel for,False,True,False,32
polybench/3mm,do_all,36,init_array,True,#pragma omp parallel for,False,True,False,36
polybench/3mm,do_all,35,init_array,True,#pragma omp parallel for,False,True,False,35
polybench/3mm,do_all,39,init_array,True,#pragma omp parallel for,False,True,False,39
polybench/3mm,do_all,38,init_array,True,#pragma omp parallel for,False,True,False,38
polybench/3mm,do_all,42,init_array,True,#pragma omp parallel for,False,True,False,42
polybench/3mm,do_all,41,init_array,True,#pragma omp parallel for,False,True,False,41
polybench/3mm,do_all,84,kernel_3mm,True,#pragma omp parallel for,False,False,False,84
polybench/3mm,do_all,81,kernel_3mm,True,#pragma omp parallel for,False,False,False,81
polybench/3mm,do_all,80,kernel_3mm,True,#pragma omp parallel for,False,False,False,80
polybench/3mm,do_all,92,kernel_3mm,True,#pragma omp parallel for,False,False,False,92
polybench/3mm,do_all,89,kernel_3mm,True,#pragma omp parallel for,False,False,False,89
polybench/3mm,do_all,88,kernel_3mm,True,#pragma omp parallel for,False,False,False,88
polybench/3mm,do_all,100,kernel_3mm,True,#pragma omp parallel for,False,False,False,100
polybench/3mm,do_all,97,kernel_3mm,True,#pragma omp parallel for,False,False,False,97
polybench/3mm,do_all,96,kernel_3mm,True,#pragma omp parallel for,False,False,False,96
polybench/3mm,do_all,56,print_array,True,#pragma omp parallel for,False,True,False,56
polybench/3mm,do_all,55,print_array,True,#pragma omp parallel for,False,True,False,55
polybench/3mm,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/adi,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/adi,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/adi,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/adi,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/adi,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/adi,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/adi,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/adi,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/adi,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/adi,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/adi,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/adi,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/adi,do_all,124,main,True,#pragma omp parallel for,True,True,True,124
polybench/adi,do_all,125,main,True,#pragma omp parallel for,True,True,True,125
polybench/adi,do_all,126,main,True,#pragma omp parallel for,True,True,True,126
polybench/adi,do_all,32,init_array,True,#pragma omp parallel for,False,True,False,32
polybench/adi,do_all,31,init_array,True,#pragma omp parallel for,False,True,False,31
polybench/adi,do_all,74,kernel_adi,True,#pragma omp parallel for,False,False,False,74
polybench/adi,do_all,73,kernel_adi,True,#pragma omp parallel for,False,False,False,73
polybench/adi,do_all,80,kernel_adi,True,#pragma omp parallel for,False,False,False,80
polybench/adi,do_all,84,kernel_adi,True,#pragma omp parallel for,False,False,False,84
polybench/adi,do_all,83,kernel_adi,True,#pragma omp parallel for,False,False,False,83
polybench/adi,do_all,88,kernel_adi,True,#pragma omp parallel for,False,False,False,88
polybench/adi,do_all,87,kernel_adi,True,#pragma omp parallel for,False,False,False,87
polybench/adi,do_all,93,kernel_adi,True,#pragma omp parallel for,False,False,False,93
polybench/adi,do_all,97,kernel_adi,True,#pragma omp parallel for,False,False,False,97
polybench/adi,do_all,96,kernel_adi,True,#pragma omp parallel for,False,False,False,96
polybench/adi,do_all,71,kernel_adi,True,#pragma omp parallel for,False,False,False,71
polybench/adi,do_all,51,print_array,True,#pragma omp parallel for,False,True,False,51
polybench/adi,do_all,50,print_array,True,#pragma omp parallel for,False,True,False,50
polybench/adi,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/atax,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/atax,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/atax,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/atax,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/atax,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/atax,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/atax,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/atax,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/atax,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/atax,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/atax,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/atax,task,328,polybench_timer_start,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,334
polybench/atax,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/atax,task,318,polybench_prepare_instruments,False,['#pragma omp task'],False,True,False,323
polybench/atax,task,318,polybench_prepare_instruments,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,323
polybench/atax,do_all,101,main,True,#pragma omp parallel for,True,True,True,101
polybench/atax,do_all,102,main,True,#pragma omp parallel for,True,True,True,102
polybench/atax,do_all,103,main,True,#pragma omp parallel for,True,True,True,103
polybench/atax,do_all,104,main,True,#pragma omp parallel for,True,True,True,104
polybench/atax,do_all,30,init_array,True,#pragma omp parallel for,False,True,False,30
polybench/atax,do_all,33,init_array,True,#pragma omp parallel for,False,True,False,33
polybench/atax,do_all,32,init_array,True,#pragma omp parallel for,False,True,False,32
polybench/atax,do_all,67,kernel_atax,True,#pragma omp parallel for,False,False,False,67
polybench/atax,do_all,72,kernel_atax,True,#pragma omp parallel for,False,False,False,72
polybench/atax,do_all,74,kernel_atax,True,#pragma omp parallel for,False,False,False,74
polybench/atax,do_all,69,kernel_atax,True,#pragma omp parallel for,False,False,False,69
polybench/atax,do_all,47,print_array,True,#pragma omp parallel for,False,True,False,47
polybench/atax,do_all,88,polybench_flush_cache,True,#pragma omp parallel for,False,True,False,88
polybench/bicg,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/bicg,task,379,xmalloc,False,['#pragma omp task'],False,True,False,379
polybench/bicg,task,379,xmalloc,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,379
polybench/bicg,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/bicg,task,340,polybench_timer_stop,False,['#pragma omp task'],False,True,False,347
polybench/bicg,task,340,polybench_timer_stop,True,"['#pragma omp parallel', '#pragma omp single']",False,True,False,347
polybench/bicg,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
polybench/bicg,task,328,polybench_timer_start,False,['#pragma omp task'],False,True,False,334
