== polybench/2mm
  discopop_cc: rc=0 0.3s
  ./a.out: rc=0 0.2s
  seed=free run 8: rc=0 4.18s c6d5092f7c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 9: rc=0 4.29s 5fe061a90a {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 10: rc=0 4.16s 4eeab72c91 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 11: rc=0 4.32s f4db3b50d0 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 12: rc=0 4.37s f704fde868 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 13: rc=0 4.34s 771f7c69c6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 14: rc=0 4.3s dc6c9ecdac {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=free run 15: rc=0 4.19s 248a46c60f {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 16: rc=0 4.17s 53422c77b8 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 17: rc=0 4.22s 1c55a307d5 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=free run 18: rc=0 4.38s 48b845d521 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=free run 19: rc=0 4.25s f40041d1ea {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=free run 20: rc=0 4.73s 16193237a6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 1: rc=0 4.58s 12a46b0b80 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=0 run 2: rc=0 4.61s a54fae21bd {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 3: rc=0 4.46s 89d5864760 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=0 run 4: rc=0 4.3s 131066a96f {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=0 run 5: rc=0 4.27s 9b83301e89 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=0 run 6: rc=0 4.09s 28b80a6491 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=0 run 7: rc=0 4.32s e21a7adb75 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 8: rc=0 4.33s 348d492e82 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 9: rc=0 4.39s 348d492e82 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 10: rc=0 4.32s faf060ef50 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 11: rc=0 4.29s 77e2e30231 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=0 run 12: rc=0 4.15s d91e472ec9 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=0 run 13: rc=0 4.44s e754dede6d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 14: rc=0 4.48s 74e87d9da7 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=0 run 15: rc=0 4.46s a02d4fa557 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=0 run 16: rc=0 4.52s ff0032aaac {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=0 run 17: rc=0 4.52s 2a1e166378 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=0 run 18: rc=0 4.46s 7beb0e13bb {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=0 run 19: rc=0 5.0s 1a8d58ff1a {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=0 run 20: rc=0 4.79s 9b83301e89 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 1: rc=0 4.73s 191982a107 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=7 run 2: rc=0 4.63s e5946558b6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 3: rc=0 4.59s 4bef0239f5 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 4: rc=0 4.51s be0985b943 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 5: rc=0 4.27s b9206d340c {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=7 run 6: rc=0 4.35s 6022fcfe5b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 7: rc=0 4.3s 87fae9c343 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 8: rc=0 4.27s fb4d65ae78 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=7 run 9: rc=0 4.32s 3bc69c10e6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 10: rc=0 4.22s f197431c60 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 11: rc=0 4.7s 5381e32206 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=7 run 12: rc=0 4.71s 3487bb91d1 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 13: rc=0 4.56s 78eef54c85 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 14: rc=0 4.35s fd21af736d {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 15: rc=0 4.33s b98fcb03e0 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 16: rc=0 4.19s 2b5402ebcc {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 11, 'reduction': 0}
  seed=7 run 17: rc=0 4.41s 3f1052d090 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 10, 'reduction': 0}
  seed=7 run 18: rc=0 4.2s bb21e4534e {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
  seed=7 run 19: rc=0 4.27s 2e034b9846 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 39, 'do_all': 11, 'reduction': 0}
  seed=7 run 20: rc=0 4.45s 673029e216 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 36, 'do_all': 10, 'reduction': 0}
== npb/is
  discopop_cxx: rc=0 0.7s
  ./a.out: rc=0 28.1s
  seed=free run 1: rc=0 20.04s cb440db306 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 2: rc=0 17.5s cb440db306 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 3: rc=0 20.47s cec642cfc6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 4: rc=0 19.02s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 5: rc=0 22.08s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 6: rc=0 20.23s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 7: rc=0 19.54s 4bd4ad55e6 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 8: rc=0 18.27s 495c844dff {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 9: rc=0 18.4s f8e7834fb3 {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
  seed=free run 10: rc=0 17.9s ca77253b6b {'optimizer_output': 0, 'merged_pattern': 0, 'task': 24, 'do_all': 19, 'reduction': 0}
