benchmark,binary,condition,lane,run,rc,wall_s,region_s,load
tsvc/s254,polly_parallel,4_lanes,2,8,0,,3.063018908,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,9,0,,3.035153097,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,2,10,0,,3.122802265,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,1,0,,3.118704377,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,2,0,,3.05118106,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,3,0,,3.166971164,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,4,0,,3.094043639,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,5,0,,3.098661172,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,6,0,,3.083393458,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,7,0,,3.093156386,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,8,0,,3.070167448,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,9,0,,3.055092425,5.48 4.02 44.50
tsvc/s254,polly_parallel,4_lanes,3,10,0,,3.157422265,5.48 4.02 44.50
polybench/2mm,serial,alone,0,1,0,7.155,7.144258501,5.10 3.99 44.06
polybench/2mm,serial,alone,0,2,0,6.9404,6.928397156,4.78 3.96 43.62
polybench/2mm,serial,alone,0,3,0,7.8506,7.839787335,4.63 3.94 43.40
polybench/2mm,serial,alone,0,4,0,6.4912,6.478163325,4.58 3.94 43.19
polybench/2mm,serial,alone,0,5,0,6.9379,6.925814666,4.34 3.91 42.76
polybench/2mm,serial,alone,0,6,0,6.8803,6.867628604,4.23 3.90 42.54
polybench/2mm,serial,alone,0,7,0,7.2549,7.244262082,4.12 3.88 42.12
polybench/2mm,serial,alone,0,8,0,6.4935,6.47894232,4.11 3.88 41.92
polybench/2mm,serial,alone,0,9,0,7.2068,7.195217797,4.02 3.87 41.71
polybench/2mm,serial,alone,0,10,0,7.1877,7.175485902,4.58 3.99 41.34
polybench/2mm,serial,unpinned,-1,1,0,7.1455,7.134975054,4.54 3.99 41.14
polybench/2mm,serial,unpinned,-1,2,0,11.8732,11.863394199,4.19 3.94 40.53
polybench/2mm,serial,unpinned,-1,3,0,7.5051,7.493803904,4.18 3.94 40.33
polybench/2mm,serial,unpinned,-1,4,0,11.8313,11.820738645,4.16 3.94 39.94
polybench/2mm,serial,unpinned,-1,5,0,12.1579,12.146550855,3.90 3.90 39.35
